Algo,Run,Width,Height,Density,TimeMs,PathLen
BFS,1,20,50,0.30,1,0
Dijkstra,1,20,50,0.30,1,0
AStar,1,20,50,0.30,3,0
BFS,2,20,50,0.30,1,0
Dijkstra,2,20,50,0.30,1,0
AStar,2,20,50,0.30,3,0
BFS,3,20,50,0.30,1,0
Dijkstra,3,20,50,0.30,1,0
AStar,3,20,50,0.30,3,0
BFS,4,20,50,0.30,1,0
Dijkstra,4,20,50,0.30,1,0
AStar,4,20,50,0.30,3,0
BFS,5,20,50,0.30,1,0
Dijkstra,5,20,50,0.30,1,0
AStar,5,20,50,0.30,3,0
BFS,1,50,10,0.10,0,50
Dijkstra,1,50,10,0.10,1,50
AStar,1,50,10,0.10,0,49
BFS,2,50,10,0.10,0,50
Dijkstra,2,50,10,0.10,0,50
AStar,2,50,10,0.10,1,49
BFS,3,50,10,0.10,0,50
Dijkstra,3,50,10,0.10,0,50
AStar,3,50,10,0.10,0,49
BFS,4,50,10,0.10,0,50
Dijkstra,4,50,10,0.10,1,50
AStar,4,50,10,0.10,1,49
BFS,5,50,10,0.10,0,50
Dijkstra,5,50,10,0.10,1,50
AStar,5,50,10,0.10,0,49
BFS,1,50,10,0.20,0,0
Dijkstra,1,50,10,0.20,0,0
AStar,1,50,10,0.20,1,0
BFS,2,50,10,0.20,0,0
Dijkstra,2,50,10,0.20,0,0
AStar,2,50,10,0.20,1,0
BFS,3,50,10,0.20,0,0
Dijkstra,3,50,10,0.20,0,0
AStar,3,50,10,0.20,1,0
BFS,4,50,10,0.20,0,0
Dijkstra,4,50,10,0.20,0,0
AStar,4,50,10,0.20,1,0
BFS,5,50,10,0.20,0,0
Dijkstra,5,50,10,0.20,0,0
AStar,5,50,10,0.20,1,0
BFS,1,50,10,0.30,0,50
Dijkstra,1,50,10,0.30,0,50
AStar,1,50,10,0.30,0,49
BFS,2,50,10,0.30,0,50
Dijkstra,2,50,10,0.30,0,50
AStar,2,50,10,0.30,0,49
BFS,3,50,10,0.30,0,50
Dijkstra,3,50,10,0.30,0,50
AStar,3,50,10,0.30,0,49
BFS,4,50,10,0.30,0,50
Dijkstra,4,50,10,0.30,0,50
AStar,4,50,10,0.30,0,49
BFS,5,50,10,0.30,0,50
Dijkstra,5,50,10,0.30,0,50
AStar,5,50,10,0.30,0,49
BFS,1,50,20,0.10,1,50
Dijkstra,1,50,20,0.10,2,50
AStar,1,50,20,0.10,0,52
BFS,2,50,20,0.10,1,50
Dijkstra,2,50,20,0.10,2,50
AStar,2,50,20,0.10,0,52
BFS,3,50,20,0.10,1,50
Dijkstra,3,50,20,0.10,2,50
AStar,3,50,20,0.10,0,52
BFS,4,50,20,0.10,1,50
Dijkstra,4,50,20,0.10,2,50
AStar,4,50,20,0.10,0,52
BFS,5,50,20,0.10,1,50
Dijkstra,5,50,20,0.10,2,50
AStar,5,50,20,0.10,0,52
BFS,1,50,20,0.20,1,50
Dijkstra,1,50,20,0.20,1,50
AStar,1,50,20,0.20,1,50
BFS,2,50,20,0.20,1,50
Dijkstra,2,50,20,0.20,1,50
AStar,2,50,20,0.20,1,50
BFS,3,50,20,0.20,1,50
Dijkstra,3,50,20,0.20,1,50
AStar,3,50,20,0.20,1,50
BFS,4,50,20,0.20,1,50
Dijkstra,4,50,20,0.20,1,50
AStar,4,50,20,0.20,1,50
BFS,5,50,20,0.20,1,50
